Variable;Valor
x_tvp[1,19,6];0.0
x_tvp[1,19,7];0.0
x_tvp[1,19,8];0.0
x_tvp[1,19,9];1.0
x_tvp[1,19,10];0.0
x_tvp[1,19,11];0.0
x_tvp[1,19,12];0.0
x_tvp[1,19,13];0.0
x_tvp[1,19,14];0.0
x_tvp[1,19,15];0.0
x_tvp[1,19,16];0.0
x_tvp[1,19,17];0.0
x_tvp[1,19,18];0.0
x_tvp[1,19,19];0.0
x_tvp[1,19,20];1.0
x_tvp[1,19,21];0.0
x_tvp[1,19,22];0.0
x_tvp[1,19,23];0.0
x_tvp[1,19,24];0.0
x_tvp[1,19,25];0.0
x_tvp[1,19,26];0.0
x_tvp[1,19,27];0.0
x_tvp[1,19,28];0.0
x_tvp[1,19,29];0.0
x_tvp[1,19,30];0.0
x_tvp[1,19,31];0.0
x_tvp[1,19,32];0.0
x_tvp[1,19,33];0.0
x_tvp[1,19,34];0.0
x_tvp[1,19,35];0.0
x_tvp[1,19,36];0.0
x_tvp[1,19,37];0.0
x_tvp[1,19,38];1.0
x_tvp[1,19,39];0.0
x_tvp[1,19,40];0.0
